FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,51244,68484,2,360,2,49,0.0363,5,132000
472522,55653,118548,1,360,2,61,0.035,5,304500
472522,66262,70944,2,360,2,52,0.0325,4,225200
472522,55653,106824,2,180,2,50,0.0275,5,195000
472522,49426,116496,2,180,2,53,0.0288,5,135450
472522,55653,131712,2,180,2,32,0.0275,4,145000
472522,54736,61752,2,180,2,68,0.0275,4,95200
472522,63909,104988,2,180,2,56,0.0275,5,157000
472522,47275,123156,2,180,2,42,0.0275,4,176300
472522,47830,79056,2,180,2,72,0.0275,5,105000
472522,45382,159780,2,180,2,49,0.0275,5,280000
472522,52431,115308,2,180,2,57,0.0275,4,154000
472522,75847,128364,2,180,2,65,0.0275,4,250000
472522,50532,246528,2,180,2,42,0.0288,5,312000
472522,63909,93564,2,180,2,49,0.0288,3,139400
472522,49426,133176,2,180,2,42,0.0275,5,106000
472522,75847,286980,2,180,2,49,0.0275,5,350000
472522,52431,79320,2,180,2,49,0.0275,5,172000
472522,75847,311448,2,180,2,54,0.0275,5,356400
472522,47830,91956,2,180,2,49,0.0275,5,107000
472522,51492,62268,2,180,2,79,0.0275,5,114750
472522,49426,100140,2,180,2,53,0.0275,4,126550
472522,60557,184716,2,180,2,34,0.0288,5,350000
472522,64129,178884,2,180,2,61,0.0275,5,304000
472522,51244,117264,2,360,2,47,0.0363,5,302400
472522,55653,116376,1,360,1,40,0.0325,5,286230
472522,47830,69300,1,360,1,53,0.035,5,243000
472522,49426,59340,1,360,1,22,0.0338,4,180000
472522,55653,101832,2,360,2,39,0.0325,4,148000
472522,55653,55260,1,360,1,28,0.0325,2,173552
472522,49426,264864,1,360,2,56,0.0325,4,365000
472522,64500,67116,2,360,2,33,0.0325,4,234567
472522,49426,59328,1,360,2,63,0.0363,5,218295
472522,64129,97632,2,360,2,44,0.0363,4,256000
472522,44765,55068,1,360,2,63,0.0325,4,280000
472522,45727,132504,1,360,2,73,0.0325,4,233900
472522,51075,64152,1,360,2,59,0.0363,5,70900
472522,75847,122556,2,360,2,53,0.035,5,340000
472522,49426,131304,1,360,2,53,0.0363,5,130000
472522,52431,127344,2,360,2,52,0.0325,5,207425
472522,55653,73284,1,360,1,57,0.0363,4,201050
472522,49426,63756,2,360,2,68,0.0325,4,117762
472522,51244,111144,2,360,2,52,0.0325,5,300000
