Index,FHLBankPopulation,StateAvgIncome,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount,Amount_Prediction
4968,864771,50532,51143,2,240,2,44,0.0338,5,178000,155938.7415
4969,303625,75847,248945,1,360,2,35,0.0388,4,620943,388997.8447
4970,864771,50532,75408,1,180,2,61,0.0288,5,154100,118303.2217
4971,298800,50532,115992,1,360,2,41,0.0413,5,313600,201403.7698
4972,215472,54736,161626,1,360,2,67,0.03,5,149000,235580.4407
4973,2705000,51084,172704,1,360,2,35,0.035,5,396000,231106.0201
4974,303625,55702,146172,1,360,2,34,0.0363,5,340000,247909.6494
4975,298800,51075,174252,2,360,2,62,0.0363,5,319500,229206.2687
4976,298800,51075,84036,1,360,2,33,0.0388,5,299250,201123.7615
4977,126808,53906,38796,2,326,2,99,0.0338,2,107000,139145.1452
4978,303625,75847,278032,1,360,2,51,0.0375,5,480908,406833.3491
4979,864771,51084,75576,1,240,2,34,0.0325,5,121500,154675.7684
4980,303625,55702,128148,2,360,2,55,0.035,3,99500,219461.7107
4981,864771,50532,102084,2,360,2,40,0.0363,5,184000,217473.2558
4982,298800,51075,43917,1,360,1,23,0.0363,4,96000,135937.3657
4983,864771,51084,142452,2,180,2,34,0.0275,4,188000,148698.5564
4984,126808,53906,56119,1,360,2,73,0.0363,4,152000,182481.764
4985,303625,55702,44866,1,360,2,48,0.0375,4,156750,200861.2786
4986,215472,54736,67939,2,360,2,46,0.0325,5,188000,234287.2756
4987,298800,51075,150312,1,360,2,32,0.0363,5,244000,219146.419
4988,298800,51075,54642,1,360,2,31,0.0375,5,68800,195118.0137
4989,298800,51075,55680,2,360,2,40,0.0363,5,148800,207865.5056
4990,8538000,72222,162350,1,360,2,49,0.0363,5,340000,378807.2506
4991,215472,63488,90618,1,360,2,57,0.0325,5,120000,278249.0682
4992,126808,53906,330259,2,180,2,54,0.0288,5,344000,219995.5133
4993,864771,50532,34872,1,360,2,50,0.0425,2,54003,130889.779
